Time,hPa
5,1010.9
10,1010.9
15,1010.9
20,1010.9
25,1010.9
30,1011
35,1010.9
40,1011
45,1011
50,1010.9
55,1010.9
60,1010.8
65,1010.9
70,1010.9
75,1010.9
80,1010.9
85,1010.8
90,1001.2
95,677
100,506.1
105,332.2
110,223.6
115,114.8
120,68
125,61.1
130,39.4
135,22.1
140,14.2
145,14.4
150,14.7
155,14.7
160,15.1
165,15.1
170,15.4
175,15.4
180,64.2
185,127.6
190,127.1
195,127.2
200,127.4
205,127.4
210,127.6
215,127.6
220,127.7
225,127.9
230,127.9
235,281.3
240,277.9
245,277.6
250,277.4
255,277.3
260,277.4
265,277.4
270,277.4
275,277.6
280,277.7
285,457.8
290,454.5
295,451.6
300,450.2
305,449.8
310,449.5
315,449.5
320,449.6
325,449.6
330,449.6
335,641.1
340,632.8
345,630.1
350,629.1
355,628.6
360,628.4
365,628.2
370,816.3
375,801
380,798.1
385,797.6
390,797.7
395,798
400,798.5
405,799.1
410,1010.5
415,1010.9
420,1011
425,1010.9
430,1011
435,1010.9
440,1010.9
445,1010.9
450,1010.9
455,1011
460,1010.8
465,1010.9