extech,thermistor
20.8,18.38
20.7,18.38
20.7,18.38
20.6,18.38
20.6,18.38
20.6,18.38
20.6,18.28
20.5,18.38
20.5,18.38
20.5,18.28
20.5,18.28
20.5,18.28
20.5,18.28
20.4,18.19
20.4,18.19
20.4,18.19
20.4,18.19
20.4,18.09
20.4,18.09
15.2,8.71
14.7,8.71
14.6,8.71
14.7,8.91
14.7,8.81
14.6,8.71
14.6,8.71
14.5,8.61
14.5,8.61
14.4,8.51
14.4,8.4
14.4,8.51
14.4,8.51
14.3,8.4
14.2,8.3
14.1,8.4
13.9,8.51
12.1,5.71
12,5.6
11.9,5.6
11.8,5.71
11.8,5.71
11.8,5.71
11.9,5.6
11.9,5.71
11.9,5.6
12,5.6
11.9,5.6
11.9,5.6
12,5.6
3.7,-8.1
3.7,-8.49
3.8,-8.76
3.7,-9.03
3.8,-9.17
3.8,-9.3
3.7,-9.44
3.7,-9.57
3.6,-9.57
3.6,-9.71
3.6,-9.71
3.5,-9.85
3.5,-9.99
3.4,-9.99
3.3,-9.99
3.2,-10.12
3.2,-10.12
3.2,-10.12
3.1,-10.26
-2.3,-13.9
-2.6,-14.05
-2.9,-14.21
-2.9,-14.36
-3.1,-14.51
-3.3,-14.67
-3.5,-14.83
-3.7,-14.67